date,script,model,time
2019-03-16 01:15:58.089,PartialDetection.eol,Partial_70_Replication.uml,632
2019-03-16 01:16:07.868,PartialDetection.eol,Partial_80_Replication.uml,933
2019-03-16 01:16:17.203,PartialDetection.eol,Partial_90_Replication.uml,602
2019-03-16 01:16:26.449,PartialDetection.eol,CarDoorLock.uml,625
2019-03-16 01:16:34.904,PartialDetection.eol,Partial_10_CarDoorLock.uml,320
2019-03-16 01:16:42.134,PartialDetection.eol,Partial_20_CarDoorLock.uml,330
2019-03-16 01:16:49.236,PartialDetection.eol,Partial_30_CarDoorLock.uml,319
2019-03-16 01:16:56.378,PartialDetection.eol,Partial_40_CarDoorLock.uml,314
2019-03-16 01:17:05.701,PartialDetection.eol,Partial_50_CarDoorLock.uml,504
2019-03-16 01:17:16.038,PartialDetection.eol,Partial_60_CarDoorLock.uml,432
2019-03-16 01:17:25.604,PartialDetection.eol,Partial_70_CarDoorLock.uml,332
2019-03-16 01:17:36.672,PartialDetection.eol,Partial_80_CarDoorLock.uml,347
2019-03-16 01:17:45.703,PartialDetection.eol,Partial_90_CarDoorLock.uml,268
2019-03-16 01:17:55.695,PartialDetection.eol,rover.uml,756
2019-03-16 01:18:05.057,PartialDetection.eol,Partial_10_rover.uml,583
2019-03-16 01:18:13.677,PartialDetection.eol,Partial_20_rover.uml,515
2019-03-16 01:18:22.553,PartialDetection.eol,Partial_30_rover.uml,572
2019-03-16 01:18:30.873,PartialDetection.eol,Partial_40_rover.uml,575
2019-03-16 01:18:39.692,PartialDetection.eol,Partial_50_rover.uml,501
2019-03-16 01:18:49.101,PartialDetection.eol,Partial_60_rover.uml,478
2019-03-16 01:19:00.7,PartialDetection.eol,Partial_70_rover.uml,602
2019-03-16 01:19:12.245,PartialDetection.eol,Partial_80_rover.uml,667
2019-03-16 01:19:22.915,PartialDetection.eol,Partial_90_rover.uml,622
2019-03-16 01:19:33.474,PartialDetection.eol,model.uml,681
2019-03-16 01:19:44.988,PartialDetection.eol,Partial_10_model.uml,519
2019-03-16 01:19:54.478,PartialDetection.eol,Partial_20_model.uml,462
2019-03-16 01:20:03.276,PartialDetection.eol,Partial_30_model.uml,426
2019-03-16 01:20:11.227,PartialDetection.eol,Partial_40_model.uml,432
2019-03-16 01:20:19.712,PartialDetection.eol,Partial_50_model.uml,500
2019-03-16 01:20:27.705,PartialDetection.eol,Partial_60_model.uml,386
2019-03-16 01:20:34.585,PartialDetection.eol,Partial_70_model.uml,334
2019-03-16 01:20:44.747,PartialDetection.eol,Partial_80_model.uml,557
2019-03-16 01:20:55.833,PartialDetection.eol,Partial_90_model.uml,417
2019-03-16 01:21:04.94,PartialDetection.eol,DigitalWatch.uml,771
2019-03-16 01:21:13.609,PartialDetection.eol,Partial_10_DigitalWatch.uml,824
2019-03-16 01:21:23.12,PartialDetection.eol,Partial_20_DigitalWatch.uml,861
2019-03-16 01:21:32.207,PartialDetection.eol,Partial_30_DigitalWatch.uml,630
2019-03-16 01:21:41.116,PartialDetection.eol,Partial_40_DigitalWatch.uml,654
2019-03-16 01:21:49.963,PartialDetection.eol,Partial_50_DigitalWatch.uml,624
2019-03-16 01:21:58.504,PartialDetection.eol,Partial_60_DigitalWatch.uml,573
2019-03-16 01:22:06.736,PartialDetection.eol,Partial_70_DigitalWatch.uml,555
2019-03-16 01:22:14.427,PartialDetection.eol,Partial_80_DigitalWatch.uml,451
2019-03-16 01:22:22.883,PartialDetection.eol,Partial_90_DigitalWatch.uml,651
2019-03-16 01:22:31.884,PartialDetection.eol,Replication.uml,1164
2019-03-16 01:22:40.662,PartialDetection.eol,Partial_10_Replication.uml,797
2019-03-16 01:22:49.155,PartialDetection.eol,Partial_20_Replication.uml,675
2019-03-16 01:22:57.514,PartialDetection.eol,Partial_30_Replication.uml,512
2019-03-16 01:23:04.968,PartialDetection.eol,Partial_40_Replication.uml,684
2019-03-16 01:23:12.823,PartialDetection.eol,Partial_50_Replication.uml,641
2019-03-16 01:23:20.245,PartialDetection.eol,Partial_60_Replication.uml,667
2019-03-16 01:23:29.035,PartialDetection.eol,Partial_70_Replication.uml,629
2019-03-16 01:23:37.809,PartialDetection.eol,Partial_80_Replication.uml,583
2019-03-16 01:23:46.361,PartialDetection.eol,Partial_90_Replication.uml,547
2019-03-16 01:23:55.114,PartialDetection.eol,CarDoorLock.uml,324
2019-03-16 01:24:02.961,PartialDetection.eol,Partial_10_CarDoorLock.uml,378
2019-03-16 01:24:11.254,PartialDetection.eol,Partial_20_CarDoorLock.uml,349
2019-03-16 01:24:19.282,PartialDetection.eol,Partial_30_CarDoorLock.uml,339
2019-03-16 01:24:27.097,PartialDetection.eol,Partial_40_CarDoorLock.uml,416
2019-03-16 01:24:34.867,PartialDetection.eol,Partial_50_CarDoorLock.uml,318
2019-03-16 01:24:43.768,PartialDetection.eol,Partial_60_CarDoorLock.uml,411
2019-03-16 01:24:51.675,PartialDetection.eol,Partial_70_CarDoorLock.uml,263
2019-03-16 01:24:58.885,PartialDetection.eol,Partial_80_CarDoorLock.uml,250
2019-03-16 01:25:05.565,PartialDetection.eol,Partial_90_CarDoorLock.uml,207
2019-03-16 01:25:13.205,PartialDetection.eol,rover.uml,474
2019-03-16 01:25:20.221,PartialDetection.eol,Partial_10_rover.uml,495
2019-03-16 01:25:28.296,PartialDetection.eol,Partial_20_rover.uml,565
2019-03-16 01:25:35.46,PartialDetection.eol,Partial_30_rover.uml,511
2019-03-16 01:25:43.461,PartialDetection.eol,Partial_40_rover.uml,442
2019-03-16 01:25:50.575,PartialDetection.eol,Partial_50_rover.uml,410
2019-03-16 01:25:57.415,PartialDetection.eol,Partial_60_rover.uml,439
2019-03-16 01:26:04.892,PartialDetection.eol,Partial_70_rover.uml,534
2019-03-16 01:26:11.89,PartialDetection.eol,Partial_80_rover.uml,428
2019-03-16 01:26:18.505,PartialDetection.eol,Partial_90_rover.uml,321
2019-03-16 01:26:25.392,PartialDetection.eol,model.uml,429
2019-03-16 01:26:32.628,PartialDetection.eol,Partial_10_model.uml,400
2019-03-16 01:26:39.699,PartialDetection.eol,Partial_20_model.uml,402
2019-03-16 01:26:46.882,PartialDetection.eol,Partial_30_model.uml,347
2019-03-16 01:26:55.386,PartialDetection.eol,Partial_40_model.uml,402
2019-03-16 01:27:03.722,PartialDetection.eol,Partial_50_model.uml,368
2019-03-16 01:27:16.442,PartialDetection.eol,Partial_60_model.uml,714
2019-03-16 01:27:16.54,RefineForPMD.eol,model.uml,3057
2019-03-16 01:27:28.732,PartialDetection.eol,Partial_70_model.uml,556
2019-03-16 01:27:32.414,RefineForPMD.eol,Partial_10_model.uml,3144
2019-03-16 01:27:40.87,PartialDetection.eol,Partial_80_model.uml,559
2019-03-16 01:27:48.066,RefineForPMD.eol,Partial_20_model.uml,3660
2019-03-16 01:27:53.118,PartialDetection.eol,Partial_90_model.uml,455
2019-03-16 01:28:05.976,PartialDetection.eol,DigitalWatch.uml,1677
2019-03-16 01:28:05.44,RefineForPMD.eol,Partial_30_model.uml,4437
2019-03-16 01:06:19.883,PartialModelCreator.eol,Replication.uml,1316172
2019-03-16 01:28:21.322,PartialDetection.eol,Partial_10_DigitalWatch.uml,1616
2019-03-16 01:28:25.944,RefineForPMD.eol,Partial_40_model.uml,3951
2019-03-16 01:28:38.286,PartialDetection.eol,Partial_20_DigitalWatch.uml,1463
2019-03-16 01:28:46.079,RefineForPMD.eol,Partial_50_model.uml,4113
2019-03-16 01:28:52.612,PartialDetection.eol,Partial_30_DigitalWatch.uml,1489
2019-03-16 01:29:09.942,PartialDetection.eol,Partial_40_DigitalWatch.uml,1382
2019-03-16 01:29:07.333,RefineForPMD.eol,Partial_60_model.uml,4691
2019-03-16 01:29:25.368,PartialDetection.eol,Partial_50_DigitalWatch.uml,1162
2019-03-16 01:29:27.689,RefineForPMD.eol,Partial_70_model.uml,3117
2019-03-16 01:29:39.923,PartialDetection.eol,Partial_60_DigitalWatch.uml,1605
2019-03-16 01:29:46.327,RefineForPMD.eol,Partial_80_model.uml,5013
2019-03-16 01:29:54.84,PartialDetection.eol,Partial_70_DigitalWatch.uml,887
2019-03-16 01:30:05.129,RefineForPMD.eol,Partial_90_model.uml,4095
2019-03-16 01:30:08.975,PartialDetection.eol,Partial_80_DigitalWatch.uml,944
2019-03-16 01:30:21.801,PartialDetection.eol,Partial_90_DigitalWatch.uml,942
2019-03-16 01:30:22.644,RefineForPMD.eol,DigitalWatch.uml,7974
2019-03-16 01:30:36.957,PartialDetection.eol,Replication.uml,1782
2019-03-16 01:30:52.182,PartialDetection.eol,Partial_10_Replication.uml,1298
